Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.07.17 18:47:06;Buy;0.1;XAUUSD+;4018.47;0.1;2026.07.17 18:47:36;4016.57;-0.4;;-16.61
2026.07.17 18:04:25;Buy;0.1;XAUUSD+;4010.21;0.1;2026.07.17 18:04:27;4012.77;-0.4;;22.37
2026.07.17 18:04:25;Buy;0.1;XAUUSD+;4009.93;0.1;2026.07.17 18:04:27;4012.13;-0.4;;19.23
2026.07.17 17:15:01;Buy;0.04;BTCUSD+;63400.9;0.04;2026.07.17 17:36:03;63282.51;;;-4.14
2026.07.17 17:01:06;Buy;0.01;BTCUSD+;63326.26;0.01;2026.07.17 17:18:26;63319.81;;;-0.05
2026.07.17 17:00:00;Buy;0.05;BTCUSD+;63159.52;0.05;2026.07.17 17:01:18;63230.06;;;3.08
2026.07.17 16:35:48;Sell;0.01;BTCUSD+;62681.46;0.01;2026.07.17 16:57:31;62962;;;-2.46
2026.07.17 16:35:47;Sell;0.01;BTCUSD+;62692.58;0.01;2026.07.17 16:40:33;62702.46;;;-0.08
2026.07.17 16:36:47;Sell;0.01;BTCUSD+;62645.61;0.01;2026.07.17 16:37:02;62655.9;;;-0.09
2026.07.17 15:43:04;Sell;0.09;XAUUSD+;3968.47;0.09;2026.07.17 15:43:09;3968.07;-0.36;;3.15
2026.07.17 15:43:04;Sell;0.09;XAUUSD+;3968.85;0.09;2026.07.17 15:43:09;3968.07;-0.36;;6.14
2026.07.17 15:42:36;Sell;0.09;XAUUSD+;3975.68;0.09;2026.07.17 15:42:44;3973.26;-0.36;;19.06
2026.07.17 09:00:01;Sell;0.09;BTCUSD+;62833.85;0.09;2026.07.17 09:19:24;62782.04;;;4.08
2026.07.17 02:20:05;Sell;0.01;BTCUSD+;63876.29;0.01;2026.07.17 04:06:38;64020.62;;;-1.27
2026.07.17 02:20:05;Sell;0.01;BTCUSD+;63878.02;0.01;2026.07.17 02:48:00;63878.02;;;0
2026.07.17 02:20:19;Sell;0.03;BTCUSD+;63803.01;0.03;2026.07.17 02:28:24;63836.08;;;-0.87
2026.07.17 02:20:19;Sell;0.01;BTCUSD+;63803.01;0.01;2026.07.17 02:25:41;63803.01;;;0
2026.07.16 22:35:12;Sell;0.09;XAUUSD+;3974.19;0.09;2026.07.16 22:35:19;3973.9;-0.36;;2.2800000000000002
2026.07.16 15:44:48;Sell;0.01;BTCUSD+;63880.3;0.01;2026.07.16 16:30:11;64346.03;;;-4.07
2026.07.16 16:02:41;Sell;0.09;XAUUSD+;3982.15;0.09;2026.07.16 16:02:42;3979.07;-0.36;;24.22
2026.07.16 15:41:07;Sell;0.01;BTCUSD+;63906.83;0.01;2026.07.16 15:46:23;63906.83;;;0
2026.07.16 15:16:42;Sell;0.09;XAUUSD+;4013.92;0.09;2026.07.16 15:16:43;4013.72;-0.36;;1.5699999999999998
2026.07.16 15:16:15;Sell;0.09;XAUUSD+;4016.96;0.09;2026.07.16 15:16:16;4017.44;-0.36;;-3.77
2026.07.16 14:25:43;Sell;0.09;XAUUSD+;4023.38;0.09;2026.07.16 14:25:46;4021.69;-0.36;;13.27
2026.07.16 10:36:02;Sell;0.01;BTCUSD+;64351.21;0.01;2026.07.16 11:17:10;63972.76;;;3.3
2026.07.16 10:35:59;Sell;0.01;BTCUSD+;64403.79;0.01;2026.07.16 11:14:55;63948.3;;;3.98
2026.07.16 10:35:58;Sell;0.01;BTCUSD+;64419.61;0.01;2026.07.16 11:14:37;63967.68;;;3.94
2026.07.16 11:00:00;Sell;0.09;BTCUSD+;64228.41;0.09;2026.07.16 11:10:39;64008.24;;;17.28
2026.07.16 09:35:05;Sell;0.09;XAUUSD+;4024.24;0.09;2026.07.16 09:35:07;4024.09;-0.36;;1.18
2026.07.16 05:39:08;Sell;0.09;XAUUSD+;4026.95;0.09;2026.07.16 05:39:16;4026.44;-0.36;;4
2026.07.16 03:38:02;Sell;0.01;BTCUSD+;64511.65;0.01;2026.07.16 04:23:53;64511.65;;;0
2026.07.16 04:17:56;Sell;0.01;BTCUSD+;64505.86;0.01;2026.07.16 04:23:42;64505.86;;;0
2026.07.16 04:18:12;Sell;0.01;BTCUSD+;64462.3;0.01;2026.07.16 04:21:06;64484.13;;;-0.19
2026.07.16 02:42:02;Sell;0.01;BTCUSD+;64726.2;0.01;2026.07.16 04:20:54;64460.36;;;2.32
