Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.07.17 07:19:41;Sell;0.01;BTCUSD;63247;0.01;2026.07.17 08:29:34;63176;;;0.71
2026.07.16 15:41:07;Sell;0.01;BTCUSD;63849;0.01;2026.07.16 16:30:01;64242;;;-3.93
2026.07.15 09:32:49;Buy;0.01;BTCUSD;65054;0.01;2026.07.15 09:36:45;65107;;;0.53
2026.07.14 18:31:57;Buy;0.01;BTCUSD;64795;0.01;2026.07.14 20:11:26;64350;;;-4.45
2026.07.08 05:35:23;Sell;0.01;BTCUSD;62597;0.01;2026.07.08 08:35:23;62719;;;-1.22
2026.07.06 15:43:35;Sell;0.01;BTCUSD;61776;0.01;2026.07.06 15:50:14;61717;;;0.59
2026.07.06 15:00:08;Sell;0.01;BTCUSD;62328;0.01;2026.07.06 15:00:29;62283;;;0.45
2026.07.02 12:53:43;Buy;0.01;BTCUSD;61263;0.01;2026.07.02 15:30:05;61314;;;0.51
2026.07.02 00:52:59;Buy;0.01;BTCUSD;60817;0.01;2026.07.02 01:22:07;60899;;;0.82
2026.06.30 16:34:27;Sell;0.01;BTCUSD;58178;0.01;2026.06.30 16:51:13;58653;;;-4.75
2026.06.30 15:23:55;Sell;0.01;BTCUSD;58768;0.01;2026.06.30 15:25:45;58728;;;0.4
2026.06.29 05:13:56;Sell;0.01;BTCUSD;58773;0.01;2026.06.29 05:42:33;59669;;;-8.96
2026.06.29 01:20:57;Sell;0.01;BTCUSD;59076;0.01;2026.06.29 01:55:23;59024;;;0.52
2026.06.25 16:53:22;Sell;0.01;BTCUSD;59028;0.01;2026.06.25 16:58:28;58241;;;7.87
2026.06.24 16:22:33;Sell;0.01;BTCUSD;61781;0.01;2026.06.24 16:23:03;61712;;;0.69
2026.06.23 09:06:32;Sell;0.01;BTCUSD;63229;0.01;2026.06.23 09:16:15;63180;;;0.49
2026.06.18 17:52:58;Sell;0.01;BTCUSD;63473;0.01;2026.06.18 18:38:57;62832;;;6.41
2026.06.18 07:11:51;Sell;0.01;BTCUSD;63813;0.01;2026.06.18 08:06:36;63725;;;0.88
2026.06.17 13:04:30;Sell;0.01;BTCUSD;64754;0.01;2026.06.17 14:27:47;64684;;;0.7
2026.06.17 10:53:38;Sell;0.01;BTCUSD;65279;0.01;2026.06.17 10:54:01;65208;;;0.71
2026.06.16 17:33:31;Sell;0.01;BTCUSD;65312;0.01;2026.06.16 20:03:31;65714;;;-4.02
2026.06.15 00:18:57;Buy;0.01;BTCUSD;64786;0.01;2026.06.15 00:19:00;64899;;;1.13
