Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.07.16 18:30:00;Buy;0.01;BTCUSD;64785.92;0.01;2026.07.16 19:45:00;64322.7;;;-4.63
2026.07.15 18:39:38;Buy;0.01;BTCUSD;65515.73;0.01;2026.07.15 23:00:00;64924.52;;;-5.91
2026.07.15 17:30:00;Buy;0.01;BTCUSD;65287.31;0.01;2026.07.15 22:30:00;64799.76;;;-4.88
2026.07.15 18:00:00;Buy;0.02;BTCUSD;65331.82;0.02;2026.07.15 20:00:00;65055.7;;;-5.52
2026.07.14 17:59:35;Buy;0.01;BTCUSD;64128.06;0.01;2026.07.14 23:00:00;64531.02;;;4.03
2026.07.14 17:30:00;Buy;0.01;BTCUSD;63844.73;0.01;2026.07.14 22:30:00;64506.38;;;6.62
2026.07.14 18:00:00;Buy;0.01;BTCUSD;64237.55;0.01;2026.07.14 21:00:00;64572.8;;;3.35
2026.07.12 18:00:00;Buy;0.02;BTCUSD;64168.7;0.02;2026.07.12 20:00:01;64118.88;;;-1
2026.07.09 21:07:34;Buy;0.01;BTCUSD;63253.06;0.01;2026.07.09 23:00:00;63197.59;;;-0.55
2026.07.07 18:30:00;Buy;0.01;BTCUSD;63696.38;0.01;2026.07.07 22:30:00;63541.03;;;-1.55
2026.07.06 20:26:49;Buy;0.01;BTCUSD;63964.44;0.01;2026.07.06 23:00:00;63676.38;;;-2.88
2026.07.06 18:45:00;Buy;0.01;BTCUSD;62861.07;0.01;2026.07.06 22:30:00;63781.21;;;9.2
2026.07.06 19:00:00;Buy;0.01;BTCUSD;63511.84;0.01;2026.07.06 21:00:00;63541.24;;;0.29
2026.07.02 17:01:48;Buy;0.01;BTCUSD;61995.63;0.01;2026.07.02 23:00:00;61403.97;;;-5.92
2026.07.02 12:53:52;Buy;0.01;BTCUSD;61343.48;0.01;2026.07.02 13:00:00;61073.55;;;-2.7
2026.07.01 18:00:00;Buy;0.01;BTCUSD;59489.45;0.01;2026.07.01 22:30:00;60073.69;;;5.84
2026.07.01 17:30:01;Buy;0.01;BTCUSD;59720.09;0.01;2026.07.01 21:00:00;60127.1;;;4.07
2026.07.01 18:00:00;Buy;0.02;BTCUSD;59490.49;0.02;2026.07.01 20:00:00;59863.16;;;7.45
2026.06.30 18:05:13;Sell;0.01;BTCUSD;58113.73;0.01;2026.06.30 23:00:00;58714.23;;;-6.01
2026.06.30 18:00:00;Sell;0.01;BTCUSD;58374.27;0.01;2026.06.30 22:30:00;58585.51;;;-2.11
2026.06.29 18:00:00;Sell;0.02;BTCUSD;59341.3;0.02;2026.06.29 20:00:00;59792.71;;;-9.03
2026.06.28 19:25:46;Sell;0.01;BTCUSD;59655.88;0.01;2026.06.28 23:00:00;59394.05;;;2.62
2026.06.28 18:00:00;Sell;0.02;BTCUSD;59925.6;0.02;2026.06.28 20:00:00;59603.16;;;6.45
2026.06.27 18:00:00;Buy;0.02;BTCUSD;60527.63;0.02;2026.06.27 20:00:00;60713.53;;;3.7199999999999998
2026.06.25 17:30:00;Sell;0.01;BTCUSD;59215.51;0.01;2026.06.25 22:30:00;59254.8;;;-0.39
2026.06.25 16:53:28;Sell;0.01;BTCUSD;58956.97;0.01;2026.06.25 17:00:00;58225.83;;;7.31
2026.06.24 17:30:00;Sell;0.01;BTCUSD;61138.76;0.01;2026.06.24 22:30:00;59737.36;;;14.01
2026.06.24 17:30:01;Sell;0.01;BTCUSD;61118.66;0.01;2026.06.24 21:00:00;59326.13;;;17.93
2026.06.24 18:00:00;Sell;0.02;BTCUSD;61028.1;0.02;2026.06.24 20:00:00;59768.03;;;25.2
2026.06.20 17:46:09;Buy;0.01;BTCUSD;63887.85;0.01;2026.06.20 23:00:00;63854.66;;;-0.33
2026.06.20 18:15:00;Buy;0.01;BTCUSD;63944.47;0.01;2026.06.20 22:30:00;63792.39;;;-1.52
2026.06.20 18:00:00;Buy;0.01;BTCUSD;63902.89;0.01;2026.06.20 20:00:00;63951.51;;;0.49
2026.06.18 17:52:57;Sell;0.01;BTCUSD;63606.87;0.01;2026.06.18 23:00:00;62894.41;;;7.12
2026.06.18 18:30:00;Sell;0.01;BTCUSD;63147.73;0.01;2026.06.18 22:30:00;62710.64;;;4.37
2026.06.18 18:30:00;Sell;0.01;BTCUSD;63138.79;0.01;2026.06.18 21:00:00;62531.24;;;6.08
2026.06.18 18:00:00;Sell;0.01;BTCUSD;63734.46;0.01;2026.06.18 20:00:00;62629.94;;;11.05
2026.06.17 22:29:12;Sell;0.01;BTCUSD;64464.42;0.01;2026.06.17 23:00:00;64250.48;;;2.14
2026.06.17 19:30:00;Buy;0.01;BTCUSD;66197.76;0.01;2026.06.17 21:00:00;66019.79;;;-1.78
2026.06.16 17:23:01;Sell;0.01;BTCUSD;65582.45;0.01;2026.06.16 23:00:00;65601.25;;;-0.19
2026.06.16 18:00:00;Sell;0.01;BTCUSD;65595.05;0.01;2026.06.16 20:00:00;65723.51;;;-1.28
2026.06.16 17:30:02;Sell;0.01;BTCUSD;65506.39;0.01;2026.06.16 18:15:00;65820.37;;;-3.14
2026.06.15 18:45:51;Buy;0.01;BTCUSD;66920.42;0.01;2026.06.15 23:00:00;66560;;;-3.6
2026.06.15 19:00:00;Buy;0.01;BTCUSD;67259.56;0.01;2026.06.15 21:00:00;66817.71;;;-4.42
2026.06.14 17:35:48;Sell;0.01;BTCUSD;63849.15;0.01;2026.06.14 23:00:00;63768.51;;;0.81
2026.06.14 17:45:00;Sell;0.01;BTCUSD;63896.64;0.01;2026.06.14 18:15:00;64068.99;;;-1.72
2026.06.12 17:53:34;Buy;0.01;BTCUSD;63909.91;0.01;2026.06.12 23:00:00;63550.21;;;-3.6
2026.06.12 18:00:00;Buy;0.01;BTCUSD;63964.58;0.01;2026.06.12 20:00:00;63943.29;;;-0.21
